StateAbbr,StateName,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
ID,Idaho,907,118,40,898,1194,877,1389,1233,776,2212,1501,475,1994,3273,1035,1340,2395,252,1517,2913,1893,2109,1118,1938,4405,691,1994,3126,3824,1624,2831,1927,1620,3910,2328,3119,1709,413,21,90,98,286,109,262,54,20,2088,138,1,20,0,1,0,1,0,0,0,0,0,3,2,99,0,0,2,4,2,81,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
IN,Indiana,4131,17628,2914,3570,20943,9967,712,7088,17069,437,533,13350,3075,9697,4836,856,11921,2173,14314,3964,6721,4153,7291,6727,22049,3706,16415,8167,18173,4595,10427,5898,7661,5871,22327,2366,5866,678,789,471,287,3274,1267,760,258,516,4337,4260,205,188,112,18,3,18,2,0,16,0,20,34,1,1,8,1,1,0,0,0,0,0,0,4,1,0,0,33,0,0,0,0,0,14,15,2,1,0,0
IA,Iowa,9792,851,158,824,8694,21849,204,269,4996,4636,5531,4706,6287,5674,4742,1258,4283,4567,9013,2243,10486,2711,3773,10913,12530,7654,8309,8760,12560,11468,1764,5306,10825,7693,22678,9309,5477,826,166,270,199,2858,911,300,63,700,27,4129,77,9,2,1,0,0,0,0,1,0,0,2,10,0,0,0,7,0,0,8,1,0,2,0,0,0,3,0,0,0,0,1,0,1,0,0,0,0,0
KS,Kansas,12559,1758,6150,6289,10066,26190,438,782,10304,1700,10842,13521,9368,9852,9827,1121,12906,431,1108,16984,1745,11158,6473,15022,1355,2995,4254,13,71,0,0,0,0,0,0,0,0,97,21,9,76,1403,39,27,168,2147,791,1196,95,75,71,1,44,0,0,0,19,0,1,31,0,0,1,0,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6,6,0,14,0,0
KY,Kentucky,1859,4801,1953,1560,11501,14667,2214,6842,10477,1190,3086,17555,1881,10819,2176,1525,8084,635,3620,8393,4775,8553,9956,3802,29774,2173,17687,16331,18348,6647,10734,11259,6229,8819,15164,3802,4920,1486,141,71,1070,3799,483,416,170,158,811,1197,122,60,63,1,2,0,1,0,0,0,23,17,7,2,104,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
LA,Louisiana,1817,244,1453,931,4866,2613,1310,468,805,3332,260,939,3201,2585,2586,1056,3261,1254,1503,1359,765,2114,542,4467,3028,167,2112,1080,285,68,244,41,230,143,117,134,108,159,7,125,309,1586,123,89,14,2,402,112,472,257,19,4,15,1,8,0,0,0,0,71,0,0,0,1,1,17,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ME,Maine,1602,3505,8853,110,647,7171,7516,1131,3733,1620,9313,4414,4433,2168,5147,133,4742,4435,2942,10013,973,1764,9790,1447,5810,6479,1082,4516,4367,2588,4027,2777,7137,482,3873,2949,304,212,7,1,419,1307,211,12,31,4,10,179,1322,19,48,5,0,0,0,0,0,3,8,0,0,0,2,2,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
MD,Maryland,1266,20959,1093,697,26948,2302,7240,12246,2213,13539,254,7412,10640,3503,13380,1094,11642,1072,9899,17240,1450,6549,8215,1841,11648,2213,8736,2289,6287,2333,3251,4137,3154,2034,3141,1279,2190,182,104,96,1392,564,12,14,24,64,842,372,51,17,85,5,5,6,10,34,11,5,5,88,104,45,8,1,2,0,2,25,0,0,0,3,0,1,1,0,1,0,0,4,0,2,0,1,0,0,0
MA,Massachusetts,27238,16431,19727,15067,44749,12453,27397,20846,9217,24651,19840,20217,24807,33245,17915,6734,38107,11708,31661,26401,12405,14322,44273,2177,23325,46716,3522,10945,35819,6305,21703,21735,26910,4495,7743,19505,837,416,552,373,905,543,1246,4239,408,156,43,765,315,24,58,61,5,3,29,54,18,52,3,72,19,26,18,10,1,1,4,46,0,0,0,3,0,0,2,0,17,1,2,2,3,24,0,0,8,0,0
MI,Michigan,28290,6403,42116,22089,6355,77451,2378,5743,74183,11187,16798,61228,7834,45128,23530,5278,40032,8616,35278,19761,36807,14204,28405,22286,40177,22494,40333,17777,40667,11469,35379,27580,25303,41632,29243,28161,15180,1151,351,389,1819,2671,2313,4428,2283,3199,6264,1305,7618,875,280,35,55,1,166,33,53,22,14,303,152,5,0,7,1,0,0,7,3,0,1,0,0,2,0,1,0,3,4,0,0,2,1,5,5,0,0
MN,Minnesota,5656,3229,2516,20110,8451,28855,7764,690,6480,16227,5012,947,15663,9451,19569,366,1276,9200,8372,3359,3751,2799,3321,4239,2893,7124,1320,7508,1254,2694,4325,714,1667,2710,347,950,1748,137,17,27,49,89,26,24,53,53,421,2574,43,1218,1106,7,0,0,44,0,4,15,0,0,46,15,4,0,0,0,17,15,0,0,1,4,0,0,0,0,0,1,0,1,3,26,0,2,2,0,2
MS,Mississippi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324,1228,2226,2156,1929,1308,2414,3012,1441,2248,1283,1408,1421,1665,1520,2670,671,5859,1150,1297,678,241,23,138,1502,210,65,15,36,17,58,232,27,31,0,4,2,0,0,0,2,4,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MO,Missouri,6445,13723,1618,5771,20414,13110,668,7073,17893,351,646,6489,6695,7254,5412,769,6531,1121,5794,7910,2301,7571,2163,8881,1541,3991,5200,4283,3450,3605,751,4441,1382,2812,1078,2688,579,340,32,75,779,2118,179,65,265,262,230,966,169,479,50,1,2,2,4,1,5,23,20,31,0,0,0,0,0,0,1,2,0,1,0,2,1,0,2,0,0,0,1,6,3,0,0,3,27,0,0
MT,Montana,636,1538,5443,2270,1940,7824,455,619,2837,7370,1164,870,3137,5683,3312,540,2222,4757,1892,3847,1780,2471,3957,3101,4680,2847,6669,3526,7096,4185,2132,2270,8246,3391,4404,3928,1960,343,68,145,109,825,15,358,346,53,531,1020,109,62,1,0,0,0,0,40,0,20,47,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NE,Nebraska,10294,345,438,1625,4575,8795,1175,462,2451,3652,999,421,5486,4956,2294,816,5621,465,3336,2708,3653,549,2980,2430,2568,166,2495,234,1505,410,210,639,119,234,824,470,172,532,67,665,787,71,24,7,94,396,55,209,0,67,57,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0
